timestamp_saved,timestamp,type,region_name,totalClients,totalClientsWithoutService,totalClientsWithService,percentageClientsWithoutService,percentageClientsWithService
07/25/2023 05:45 AM,07/25/2023 01:45 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 05:45 AM,07/25/2023 01:45 AM,region,Mayaguez,216605,55,216550,0.03,99.97
07/25/2023 05:45 AM,07/25/2023 01:45 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 05:45 AM,07/25/2023 01:45 AM,region,San Juan,253068,739,252329,0.29,99.71
07/25/2023 05:49 AM,07/25/2023 01:45 AM,totals,,1468223,1508,1466715,0.1,99.9
07/25/2023 05:49 AM,07/25/2023 01:45 AM,region,Arecibo,177369,74,177295,0.04,99.96
07/25/2023 05:49 AM,07/25/2023 01:45 AM,region,Bayamon,216496,291,216205,0.13,99.87
07/25/2023 05:49 AM,07/25/2023 01:45 AM,region,Carolina,141663,265,141398,0.19,99.81
07/25/2023 05:49 AM,07/25/2023 01:45 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 05:49 AM,07/25/2023 01:45 AM,region,Mayaguez,216605,55,216550,0.03,99.97
07/25/2023 05:49 AM,07/25/2023 01:45 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 05:49 AM,07/25/2023 01:45 AM,region,San Juan,253068,739,252329,0.29,99.71
07/25/2023 05:50 AM,07/25/2023 01:50 AM,totals,,1468223,3219,1465004,0.22,99.78
07/25/2023 05:50 AM,07/25/2023 01:50 AM,region,Arecibo,177369,74,177295,0.04,99.96
07/25/2023 05:50 AM,07/25/2023 01:50 AM,region,Bayamon,216496,288,216208,0.13,99.87
07/25/2023 05:50 AM,07/25/2023 01:50 AM,region,Carolina,141663,265,141398,0.19,99.81
07/25/2023 05:50 AM,07/25/2023 01:50 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 05:50 AM,07/25/2023 01:50 AM,region,Mayaguez,216605,55,216550,0.03,99.97
07/25/2023 05:50 AM,07/25/2023 01:50 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 05:50 AM,07/25/2023 01:50 AM,region,San Juan,253068,2453,250615,0.97,99.03
07/25/2023 05:55 AM,07/25/2023 01:55 AM,totals,,1468223,3521,1464702,0.24,99.76
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,Arecibo,177369,74,177295,0.04,99.96
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,Bayamon,216496,288,216208,0.13,99.87
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,Carolina,141663,265,141398,0.19,99.81
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,Mayaguez,216605,55,216550,0.03,99.97
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,San Juan,253068,2755,250313,1.09,98.91
07/25/2023 05:55 AM,07/25/2023 01:55 AM,totals,,1468223,3521,1464702,0.24,99.76
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,Arecibo,177369,74,177295,0.04,99.96
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,Bayamon,216496,288,216208,0.13,99.87
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,Carolina,141663,265,141398,0.19,99.81
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,Mayaguez,216605,55,216550,0.03,99.97
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 05:55 AM,07/25/2023 01:55 AM,region,San Juan,253068,2755,250313,1.09,98.91
07/25/2023 06:00 AM,07/25/2023 02:00 AM,totals,,1468223,3532,1464691,0.24,99.76
07/25/2023 06:00 AM,07/25/2023 02:00 AM,region,Arecibo,177369,74,177295,0.04,99.96
07/25/2023 06:00 AM,07/25/2023 02:00 AM,region,Bayamon,216496,288,216208,0.13,99.87
07/25/2023 06:00 AM,07/25/2023 02:00 AM,region,Carolina,141663,265,141398,0.19,99.81
07/25/2023 06:00 AM,07/25/2023 02:00 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 06:00 AM,07/25/2023 02:00 AM,region,Mayaguez,216605,56,216549,0.03,99.97
07/25/2023 06:00 AM,07/25/2023 02:00 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 06:00 AM,07/25/2023 02:00 AM,region,San Juan,253068,2765,250303,1.09,98.91
07/25/2023 06:02 AM,07/25/2023 02:00 AM,totals,,1468223,3532,1464691,0.24,99.76
07/25/2023 06:02 AM,07/25/2023 02:00 AM,region,Arecibo,177369,74,177295,0.04,99.96
07/25/2023 06:02 AM,07/25/2023 02:00 AM,region,Bayamon,216496,288,216208,0.13,99.87
07/25/2023 06:02 AM,07/25/2023 02:00 AM,region,Carolina,141663,265,141398,0.19,99.81
07/25/2023 06:02 AM,07/25/2023 02:00 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 06:02 AM,07/25/2023 02:00 AM,region,Mayaguez,216605,56,216549,0.03,99.97
07/25/2023 06:02 AM,07/25/2023 02:00 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 06:02 AM,07/25/2023 02:00 AM,region,San Juan,253068,2765,250303,1.09,98.91
07/25/2023 06:05 AM,07/25/2023 02:05 AM,totals,,1468223,3109,1465114,0.21,99.79
07/25/2023 06:05 AM,07/25/2023 02:05 AM,region,Arecibo,177369,74,177295,0.04,99.96
07/25/2023 06:05 AM,07/25/2023 02:05 AM,region,Bayamon,216496,289,216207,0.13,99.87
07/25/2023 06:05 AM,07/25/2023 02:05 AM,region,Carolina,141663,265,141398,0.19,99.81
07/25/2023 06:05 AM,07/25/2023 02:05 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 06:05 AM,07/25/2023 02:05 AM,region,Mayaguez,216605,56,216549,0.03,99.97
07/25/2023 06:05 AM,07/25/2023 02:05 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 06:05 AM,07/25/2023 02:05 AM,region,San Juan,253068,2341,250727,0.93,99.07
07/25/2023 06:10 AM,07/25/2023 02:10 AM,totals,,1468223,3406,1464817,0.23,99.77
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,Arecibo,177369,75,177294,0.04,99.96
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,Bayamon,216496,288,216208,0.13,99.87
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,Carolina,141663,265,141398,0.19,99.81
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,Mayaguez,216605,56,216549,0.03,99.97
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,San Juan,253068,2638,250430,1.04,98.96
07/25/2023 06:10 AM,07/25/2023 02:10 AM,totals,,1468223,3406,1464817,0.23,99.77
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,Arecibo,177369,75,177294,0.04,99.96
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,Bayamon,216496,288,216208,0.13,99.87
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,Carolina,141663,265,141398,0.19,99.81
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,Mayaguez,216605,56,216549,0.03,99.97
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 06:10 AM,07/25/2023 02:10 AM,region,San Juan,253068,2638,250430,1.04,98.96
07/25/2023 06:15 AM,07/25/2023 02:15 AM,totals,,1468223,3406,1464817,0.23,99.77
07/25/2023 06:15 AM,07/25/2023 02:15 AM,region,Arecibo,177369,75,177294,0.04,99.96
07/25/2023 06:15 AM,07/25/2023 02:15 AM,region,Bayamon,216496,288,216208,0.13,99.87
07/25/2023 06:15 AM,07/25/2023 02:15 AM,region,Carolina,141663,265,141398,0.19,99.81
07/25/2023 06:15 AM,07/25/2023 02:15 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 06:15 AM,07/25/2023 02:15 AM,region,Mayaguez,216605,56,216549,0.03,99.97
07/25/2023 06:15 AM,07/25/2023 02:15 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 06:15 AM,07/25/2023 02:15 AM,region,San Juan,253068,2638,250430,1.04,98.96
07/25/2023 06:20 AM,07/25/2023 02:20 AM,totals,,1468223,3066,1465157,0.21,99.79
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,Arecibo,177369,75,177294,0.04,99.96
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,Bayamon,216496,288,216208,0.13,99.87
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,Carolina,141663,199,141464,0.14,99.86
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,Mayaguez,216605,56,216549,0.03,99.97
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,San Juan,253068,2364,250704,0.93,99.07
07/25/2023 06:20 AM,07/25/2023 02:20 AM,totals,,1468223,3066,1465157,0.21,99.79
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,Arecibo,177369,75,177294,0.04,99.96
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,Bayamon,216496,288,216208,0.13,99.87
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,Carolina,141663,199,141464,0.14,99.86
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,Mayaguez,216605,56,216549,0.03,99.97
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 06:20 AM,07/25/2023 02:20 AM,region,San Juan,253068,2364,250704,0.93,99.07
07/25/2023 06:28 AM,07/25/2023 02:25 AM,totals,,1468223,3074,1465149,0.21,99.79
07/25/2023 06:28 AM,07/25/2023 02:25 AM,region,Arecibo,177369,75,177294,0.04,99.96
07/25/2023 06:28 AM,07/25/2023 02:25 AM,region,Bayamon,216496,288,216208,0.13,99.87
07/25/2023 06:28 AM,07/25/2023 02:25 AM,region,Carolina,141663,206,141457,0.15,99.85
07/25/2023 06:28 AM,07/25/2023 02:25 AM,region,Caguas,250514,80,250434,0.03,99.97
07/25/2023 06:28 AM,07/25/2023 02:25 AM,region,Mayaguez,216605,56,216549,0.03,99.97
07/25/2023 06:28 AM,07/25/2023 02:25 AM,region,Ponce,212508,4,212504,0.0,100.0
07/25/2023 06:28 AM,07/25/2023 02:25 AM,region,San Juan,253068,2365,250703,0.93,99.07
