timestamp_saved,dataFechaActualizado,Index,Desc,value
07/25/2023 03:31 AM,7/24/2023 11:25:30 PM,1,PREPA,60
07/25/2023 03:31 AM,7/24/2023 11:25:30 PM,2,COGEN,40
07/25/2023 03:31 AM,7/24/2023 11:25:30 PM,3,Reserva en Rotación,132
07/25/2023 03:31 AM,7/24/2023 11:25:30 PM,4,Reserva Operacional,145
07/25/2023 03:31 AM,7/24/2023 11:25:30 PM,5,Capacidad Disponible,2826
07/25/2023 03:31 AM,7/24/2023 11:25:30 PM,6,Próxima Hora MW,2613
07/25/2023 03:31 AM,7/24/2023 11:25:30 PM,7,Máxima para Hoy,2841
07/25/2023 03:31 AM,7/24/2023 11:25:30 PM,8,Máxima Mensual,3004
07/25/2023 03:38 AM,7/24/2023 11:30:30 PM,0,Total de Generación,2682
07/25/2023 03:38 AM,7/24/2023 11:30:30 PM,1,PREPA,60
07/25/2023 03:38 AM,7/24/2023 11:30:30 PM,2,COGEN,40
07/25/2023 03:38 AM,7/24/2023 11:30:30 PM,3,Reserva en Rotación,140
07/25/2023 03:38 AM,7/24/2023 11:30:30 PM,4,Reserva Operacional,153
07/25/2023 03:38 AM,7/24/2023 11:30:30 PM,5,Capacidad Disponible,2826
07/25/2023 03:38 AM,7/24/2023 11:30:30 PM,6,Próxima Hora MW,2613
07/25/2023 03:38 AM,7/24/2023 11:30:30 PM,7,Máxima para Hoy,2841
07/25/2023 03:38 AM,7/24/2023 11:30:30 PM,8,Máxima Mensual,3004
07/25/2023 03:46 AM,7/24/2023 11:40:30 PM,0,Total de Generación,2662
07/25/2023 03:46 AM,7/24/2023 11:40:30 PM,1,PREPA,60
07/25/2023 03:46 AM,7/24/2023 11:40:30 PM,2,COGEN,40
07/25/2023 03:46 AM,7/24/2023 11:40:30 PM,3,Reserva en Rotación,159
07/25/2023 03:46 AM,7/24/2023 11:40:30 PM,4,Reserva Operacional,175
07/25/2023 03:46 AM,7/24/2023 11:40:30 PM,5,Capacidad Disponible,2825
07/25/2023 03:46 AM,7/24/2023 11:40:30 PM,6,Próxima Hora MW,2613
07/25/2023 03:46 AM,7/24/2023 11:40:30 PM,7,Máxima para Hoy,2841
07/25/2023 03:46 AM,7/24/2023 11:40:30 PM,8,Máxima Mensual,3004
07/25/2023 03:53 AM,7/24/2023 11:45:30 PM,0,Total de Generación,2650
07/25/2023 03:53 AM,7/24/2023 11:45:30 PM,1,PREPA,61
07/25/2023 03:53 AM,7/24/2023 11:45:30 PM,2,COGEN,39
07/25/2023 03:53 AM,7/24/2023 11:45:30 PM,3,Reserva en Rotación,174
07/25/2023 03:53 AM,7/24/2023 11:45:30 PM,4,Reserva Operacional,187
07/25/2023 03:53 AM,7/24/2023 11:45:30 PM,5,Capacidad Disponible,2825
07/25/2023 03:53 AM,7/24/2023 11:45:30 PM,6,Próxima Hora MW,2613
07/25/2023 03:53 AM,7/24/2023 11:45:30 PM,7,Máxima para Hoy,2841
07/25/2023 03:53 AM,7/24/2023 11:45:30 PM,8,Máxima Mensual,3004
07/25/2023 04:02 AM,7/24/2023 11:55:30 PM,0,Total de Generación,2625
07/25/2023 04:02 AM,7/24/2023 11:55:30 PM,1,PREPA,62
07/25/2023 04:02 AM,7/24/2023 11:55:30 PM,2,COGEN,38
07/25/2023 04:02 AM,7/24/2023 11:55:30 PM,3,Reserva en Rotación,200
07/25/2023 04:02 AM,7/24/2023 11:55:30 PM,4,Reserva Operacional,213
07/25/2023 04:02 AM,7/24/2023 11:55:30 PM,5,Capacidad Disponible,2825
07/25/2023 04:02 AM,7/24/2023 11:55:30 PM,6,Próxima Hora MW,2613
07/25/2023 04:02 AM,7/24/2023 11:55:30 PM,7,Máxima para Hoy,2841
07/25/2023 04:02 AM,7/24/2023 11:55:30 PM,8,Máxima Mensual,3004
07/25/2023 04:12 AM,7/25/2023 12:05:30 AM,0,Total de Generación,2604
07/25/2023 04:12 AM,7/25/2023 12:05:30 AM,1,PREPA,62
07/25/2023 04:12 AM,7/25/2023 12:05:30 AM,2,COGEN,38
07/25/2023 04:12 AM,7/25/2023 12:05:30 AM,3,Reserva en Rotación,220
07/25/2023 04:12 AM,7/25/2023 12:05:30 AM,4,Reserva Operacional,233
07/25/2023 04:12 AM,7/25/2023 12:05:30 AM,5,Capacidad Disponible,2825
