timestamp_saved,dataFechaActualizado,site_index,Type,Desc,SiteTotal,unit_index,Unit,MW,MVar,Cost,ParentId
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,15,Vapor,Palo Seco,170,0,Unit 1,0,0,0.0,15
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,15,Vapor,Palo Seco,170,1,Unit 2,0,0,0.0,15
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,15,Vapor,Palo Seco,170,2,Unit 3,0,0,0.0,15
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,15,Vapor,Palo Seco,170,3,Unit 4,170,58,15.42,15
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,16,Vapor,Aguirre,270,0,Unit 1,0,0,0.0,16
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,16,Vapor,Aguirre,270,1,Unit 2,270,149,17.62,16
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,17,Vapor,Costa Sur,0,0,Unit 3,0,0,0.0,17
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,17,Vapor,Costa Sur,0,1,Unit 4,0,0,0.0,17
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,17,Vapor,Costa Sur,0,2,Unit 5,0,0,0.0,17
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,17,Vapor,Costa Sur,0,3,Unit 6,0,0,0.0,17
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,18,Renovable,Wind,0,0,Pattern,0,0,16.29,18
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,19,Renovable,Solar,0,0,San Fermin,0,0,18.32,19
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,19,Renovable,Solar,0,1,Ilumina,0,0,21.43,19
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,19,Renovable,Solar,0,2,Horizon,0,0,19.6,19
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,19,Renovable,Solar,0,3,Coto Laurel,0,0,19.1,19
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,19,Renovable,Solar,0,4,Oriana,0,3,19.6,19
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,19,Renovable,Solar,0,5,Fonroche,0,1,17.0,19
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,20,Renovable,Landfill,1,0,Toa Baja,0,0,10.0,20
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,20,Renovable,Landfill,1,1,Fajardo,1,0,10.0,20
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,21,Turbina de Gas,Palo Seco,38,0,CT Block 1,19,0,26.0,21
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,21,Turbina de Gas,Palo Seco,38,1,CT Block 2,0,0,0.0,21
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,21,Turbina de Gas,Palo Seco,38,2,CT Block 3,0,0,0.0,21
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,21,Turbina de Gas,Palo Seco,38,3,GT1,19,0,25.92,21
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,21,Turbina de Gas,Palo Seco,38,4,GT2,0,0,0.0,21
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,21,Turbina de Gas,Palo Seco,38,5,GT3,0,0,0.0,21
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,21,Turbina de Gas,Palo Seco,38,6,GT4,0,0,0.0,21
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,21,Turbina de Gas,Palo Seco,38,7,GT5,0,0,0.0,21
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,21,Turbina de Gas,Palo Seco,38,8,GT6,0,0,0.0,21
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,22,Turbina de Gas,Aguirre,0,0,GT1,0,0,0.0,22
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,22,Turbina de Gas,Aguirre,0,1,GT2,0,0,0.0,22
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,23,Turbina de Gas,Costa Sur,0,0,GT1,0,0,19.0,23
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,23,Turbina de Gas,Costa Sur,0,1,GT2,0,0,0.0,23
